"Year","Area_type","Area_code","Area_description","Disability_indicator_code","Disability_indicator_description","Maori_ethnic_group_indicator_summary_code","Maori_ethnic_group_indicator_summary_description","Census_usually_resident_population_count_aged_5_years_and_over","Disability_indicator_by_Maori_ethnic_group_indicator_summary_percent","Disability_indicator_percent"
2018,"Regional Council","16","Tasman Region","9","Not stated","20","Maori","903","..",".."
2018,"Regional Council","16","Tasman Region","9","Not stated","Total","Total","6039","..",".."
2018,"Regional Council","16","Tasman Region","Total","Total","00","No 'Maori' response given","45771","..",".."
2018,"Regional Council","16","Tasman Region","Total","Total","20","Maori","4098","..",".."
2018,"Regional Council","16","Tasman Region","Total","Total","Total","Total","49869","..",".."
2018,"Regional Council","16","Tasman Region","Total stated","Total stated","00","No 'Maori' response given","40629","..","100.0"
2018,"Regional Council","16","Tasman Region","Total stated","Total stated","20","Maori","3195","100.0","100.0"
2018,"Regional Council","16","Tasman Region","Total stated","Total stated","Total","Total","43824","..","100.0"
2018,"Regional Council","17","Nelson Region","0","Not disabled","00","No 'Maori' response given","35646",".."," 92.7"
2018,"Regional Council","17","Nelson Region","0","Not disabled","20","Maori","3420"," 92.5"," 92.5"
2018,"Regional Council","17","Nelson Region","0","Not disabled","Total","Total","39063",".."," 92.7"
2018,"Regional Council","17","Nelson Region","1","Disabled","00","No 'Maori' response given","2805","..","  7.3"
2018,"Regional Council","17","Nelson Region","1","Disabled","20","Maori","276","  7.5","  7.5"
2018,"Regional Council","17","Nelson Region","1","Disabled","Total","Total","3081","..","  7.3"
2018,"Regional Council","17","Nelson Region","7","Response unidentifiable","00","No 'Maori' response given","C","..",".."
2018,"Regional Council","17","Nelson Region","7","Response unidentifiable","20","Maori","C","..",".."
2018,"Regional Council","17","Nelson Region","7","Response unidentifiable","Total","Total","3","..",".."
2018,"Regional Council","17","Nelson Region","9","Not stated","00","No 'Maori' response given","4836","..",".."
2018,"Regional Council","17","Nelson Region","9","Not stated","20","Maori","1149","..",".."
2018,"Regional Council","17","Nelson Region","9","Not stated","Total","Total","5985","..",".."
2018,"Regional Council","17","Nelson Region","Total","Total","00","No 'Maori' response given","43284","..",".."
2018,"Regional Council","17","Nelson Region","Total","Total","20","Maori","4848","..",".."
2018,"Regional Council","17","Nelson Region","Total","Total","Total","Total","48132","..",".."
2018,"Regional Council","17","Nelson Region","Total stated","Total stated","00","No 'Maori' response given","38448","..","100.0"
2018,"Regional Council","17","Nelson Region","Total stated","Total stated","20","Maori","3696","100.0","100.0"
2018,"Regional Council","17","Nelson Region","Total stated","Total stated","Total","Total","42144","..","100.0"
2018,"Regional Council","18","Marlborough Region","0","Not disabled","00","No 'Maori' response given","31926",".."," 92.7"
2018,"Regional Council","18","Marlborough Region","0","Not disabled","20","Maori","4074"," 93.0"," 93.0"
2018,"Regional Council","18","Marlborough Region","0","Not disabled","Total","Total","35997",".."," 92.7"
2018,"Regional Council","18","Marlborough Region","1","Disabled","00","No 'Maori' response given","2529","..","  7.3"
2018,"Regional Council","18","Marlborough Region","1","Disabled","20","Maori","306","  7.0","  7.0"
2018,"Regional Council","18","Marlborough Region","1","Disabled","Total","Total","2835","..","  7.3"
2018,"Regional Council","18","Marlborough Region","7","Response unidentifiable","00","No 'Maori' response given","C","..",".."
2018,"Regional Council","18","Marlborough Region","7","Response unidentifiable","20","Maori","C","..",".."
2018,"Regional Council","18","Marlborough Region","7","Response unidentifiable","Total","Total","6","..",".."
2018,"Regional Council","18","Marlborough Region","9","Not stated","00","No 'Maori' response given","4680","..",".."
2018,"Regional Council","18","Marlborough Region","9","Not stated","20","Maori","1233","..",".."
2018,"Regional Council","18","Marlborough Region","9","Not stated","Total","Total","5916","..",".."
2018,"Regional Council","18","Marlborough Region","Total","Total","00","No 'Maori' response given","39135","..",".."
2018,"Regional Council","18","Marlborough Region","Total","Total","20","Maori","5616","..",".."
2018,"Regional Council","18","Marlborough Region","Total","Total","Total","Total","44754","..",".."
2018,"Regional Council","18","Marlborough Region","Total stated","Total stated","00","No 'Maori' response given","34452","..","100.0"
2018,"Regional Council","18","Marlborough Region","Total stated","Total stated","20","Maori","4380","100.0","100.0"
2018,"Regional Council","18","Marlborough Region","Total stated","Total stated","Total","Total","38835","..","100.0"
