"Year","Area_type","Area_code","Area_description","Maori_ethnic_group_indicator_summary_code","Maori_ethnic_group_indicator_summary_description","Median_total_personal_income_$"
"2018","Statistical Area 2","105900","Granfield Reserve","20","Maori","25300"
"2018","Statistical Area 2","105900","Granfield Reserve","Total","Total","26700"
"2018","Statistical Area 2","106000","Kamo Central","00","No 'Maori' response given","29200"
"2018","Statistical Area 2","106000","Kamo Central","20","Maori","25700"
"2018","Statistical Area 2","106000","Kamo Central","Total","Total","28300"
"2018","Statistical Area 2","106100","Whau Valley","00","No 'Maori' response given","27000"
"2018","Statistical Area 2","106100","Whau Valley","20","Maori","22200"
"2018","Statistical Area 2","106100","Whau Valley","Total","Total","25500"
"2018","Statistical Area 2","106200","Tikipunga North","00","No 'Maori' response given","22900"
"2018","Statistical Area 2","106200","Tikipunga North","20","Maori","19500"
"2018","Statistical Area 2","106200","Tikipunga North","Total","Total","21900"
"2018","Statistical Area 2","106300","Pukenui","00","No 'Maori' response given","38200"
"2018","Statistical Area 2","106300","Pukenui","20","Maori","40000"
"2018","Statistical Area 2","106300","Pukenui","Total","Total","38400"
"2018","Statistical Area 2","106400","Otangarei","00","No 'Maori' response given","18600"
"2018","Statistical Area 2","106400","Otangarei","20","Maori","17000"
"2018","Statistical Area 2","106400","Otangarei","Total","Total","17400"
"2018","Statistical Area 2","106500","Tikipunga South","00","No 'Maori' response given","26400"
"2018","Statistical Area 2","106500","Tikipunga South","20","Maori","23700"
"2018","Statistical Area 2","106500","Tikipunga South","Total","Total","25500"
"2018","Statistical Area 2","106600","Kensington (Whangarei District)","00","No 'Maori' response given","27300"
"2018","Statistical Area 2","106600","Kensington (Whangarei District)","20","Maori","22300"
"2018","Statistical Area 2","106600","Kensington (Whangarei District)","Total","Total","25600"
"2018","Statistical Area 2","106700","Abbey Caves-Glenbervie","00","No 'Maori' response given","39100"
"2018","Statistical Area 2","106700","Abbey Caves-Glenbervie","20","Maori","25900"
"2018","Statistical Area 2","106700","Abbey Caves-Glenbervie","Total","Total","37500"
"2018","Statistical Area 2","106800","Mairtown","00","No 'Maori' response given","25400"
"2018","Statistical Area 2","106800","Mairtown","20","Maori","24400"
"2018","Statistical Area 2","106800","Mairtown","Total","Total","25200"
"2018","Statistical Area 2","106900","Maunu-Horahora","00","No 'Maori' response given","28300"
"2018","Statistical Area 2","106900","Maunu-Horahora","20","Maori","24700"
"2018","Statistical Area 2","106900","Maunu-Horahora","Total","Total","27700"
"2018","Statistical Area 2","107000","Woodhill-Vinetown","00","No 'Maori' response given","27700"
"2018","Statistical Area 2","107000","Woodhill-Vinetown","20","Maori","21600"
"2018","Statistical Area 2","107000","Woodhill-Vinetown","Total","Total","25700"
"2018","Statistical Area 2","107100","Whangarei Central","00","No 'Maori' response given","24500"
"2018","Statistical Area 2","107100","Whangarei Central","20","Maori","19000"
"2018","Statistical Area 2","107100","Whangarei Central","Total","Total","23200"
