"Year","Area_type","Area_code","Area_description","Median_weekly_rent_paid_by_household_$"
"2013","Statistical Area 2","118700","Browns Bay South East","480"
"2013","Statistical Area 2","118800","Westgate Central","340"
"2013","Statistical Area 2","118900","Greenhithe West","450"
"2013","Statistical Area 2","119000","Rothesay Bay","480"
"2013","Statistical Area 2","119100","Greenhithe East","580"
"2013","Statistical Area 2","119200","Hobsonville","440"
"2013","Statistical Area 2","119300","Inlet Waitemata Harbour","C"
"2013","Statistical Area 2","119400","Greenhithe South","370"
"2013","Statistical Area 2","119500","Murrays Bay West","480"
"2013","Statistical Area 2","119600","Westgate South","330"
"2013","Statistical Area 2","119700","Windsor Park","370"
"2013","Statistical Area 2","119800","West Harbour West","350"
"2013","Statistical Area 2","119900","Unsworth Heights West","510"
"2013","Statistical Area 2","120000","Murrays Bay East","490"
"2013","Statistical Area 2","120100","Birdwood West","350"
"2013","Statistical Area 2","120200","Hobsonville Point","230"
"2013","Statistical Area 2","120300","West Harbour Clearwater Cove","460"
"2013","Statistical Area 2","120400","Unsworth Heights East","430"
"2013","Statistical Area 2","120500","Mairangi Bay North","500"
"2013","Statistical Area 2","120600","Massey Central","350"
"2013","Statistical Area 2","120700","West Harbour Luckens Point","460"
"2013","Statistical Area 2","120800","Mairangi Bay South","490"
"2013","Statistical Area 2","120900","Massey Royal Road West","360"
"2013","Statistical Area 2","121000","Bayview East","400"
"2013","Statistical Area 2","121100","Swanson Rural","350"
"2013","Statistical Area 2","121200","Sunnynook South","430"
"2013","Statistical Area 2","121300","Sunnynook North","440"
"2013","Statistical Area 2","121400","Bayview West","390"
"2013","Statistical Area 2","121500","Totara Vale North","410"
"2013","Statistical Area 2","121600","Royal Heights North","350"
"2013","Statistical Area 2","121700","Massey West","380"
"2013","Statistical Area 2","121800","Beach Haven West","370"
"2013","Statistical Area 2","121900","Totara Vale South","380"
"2013","Statistical Area 2","122000","Swanson","350"
"2013","Statistical Area 2","122100","Bayview South","420"
"2013","Statistical Area 2","122200","Campbells Bay","530"
"2013","Statistical Area 2","122300","Royal Heights South","320"
"2013","Statistical Area 2","122400","Beach Haven East","300"
"2013","Statistical Area 2","122500","Massey East","330"
"2013","Statistical Area 2","122600","Forrest Hill North","440"
"2013","Statistical Area 2","122700","Glenfield North","380"
"2013","Statistical Area 2","122800","Birkdale North","370"
"2013","Statistical Area 2","122900","Massey South","350"
"2013","Statistical Area 2","123000","Ranui North","340"
"2013","Statistical Area 2","123100","Glenfield West","380"
"2013","Statistical Area 2","123200","Te Atatu Peninsula North West","340"
"2013","Statistical Area 2","123300","Glenfield South West","400"
"2013","Statistical Area 2","123400","Forrest Hill West","450"
"2013","Statistical Area 2","123500","Wairau Valley","340"
"2013","Statistical Area 2","123600","Forrest Hill East","420"
"2013","Statistical Area 2","123700","Castor Bay","500"
"2013","Statistical Area 2","123800","Ranui Domain","330"
"2013","Statistical Area 2","123900","Beach Haven South","420"
"2013","Statistical Area 2","124000","Glenfield Central","370"
"2013","Statistical Area 2","124100","Piha","340"
"2013","Statistical Area 2","124200","Ranui South West","340"
"2013","Statistical Area 2","124300","Henderson Larnoch","350"
"2013","Statistical Area 2","124400","Birkdale South","390"
"2013","Statistical Area 2","124500","Te Atatu Peninsula Central","350"
"2013","Statistical Area 2","124600","Glenfield East","390"
"2013","Statistical Area 2","124700","Henderson Valley","350"
"2013","Statistical Area 2","124800","Te Atatu Peninsula West","360"
"2013","Statistical Area 2","124900","Henderson Lincoln West","350"
"2013","Statistical Area 2","125000","Ranui South East","350"
"2013","Statistical Area 2","125100","Henderson Lincoln East","320"
"2013","Statistical Area 2","125200","Birkenhead West","400"
"2013","Statistical Area 2","125300","Te Atatu Peninsula East","400"
"2013","Statistical Area 2","125400","Milford West","400"
"2013","Statistical Area 2","125500","Westlake","400"
"2013","Statistical Area 2","125600","Hillcrest North (Auckland)","370"
"2013","Statistical Area 2","125700","Henderson Lincoln South","360"
"2013","Statistical Area 2","125800","Hillcrest West (Auckland)","400"
"2013","Statistical Area 2","125900","Milford Central","430"
"2013","Statistical Area 2","126000","Summerland South","460"
"2013","Statistical Area 2","126100","Summerland North","430"
"2013","Statistical Area 2","126200","Hillcrest East (Auckland)","390"
"2013","Statistical Area 2","126300","Chatswood","490"
"2013","Statistical Area 2","126400","Te Atatu South-Edmonton","340"
"2013","Statistical Area 2","126500","Birkenhead North","390"
"2013","Statistical Area 2","126600","Takapuna West","420"
"2013","Statistical Area 2","126700","Henderson North","350"
"2013","Statistical Area 2","126800","Takapuna Central","550"
"2013","Statistical Area 2","126900","Western Heights (Auckland)","400"
"2013","Statistical Area 2","127000","Te Atatu South-Central","350"
"2013","Statistical Area 2","127100","Northcote Central (Auckland)","200"
"2013","Statistical Area 2","127200","Akoranga","260"
"2013","Statistical Area 2","127300","Northcote South (Auckland)","380"
"2013","Statistical Area 2","127400","Birkenhead South","390"
"2013","Statistical Area 2","127500","Henderson Central","270"
"2013","Statistical Area 2","127600","Waiatarua","330"
"2013","Statistical Area 2","127700","Te Atatu South-McLeod North","360"
"2013","Statistical Area 2","127800","Henderson Valley Park","340"
"2013","Statistical Area 2","127900","Henderson North East","310"
"2013","Statistical Area 2","128000","Waitakere Ranges South","340"
"2013","Statistical Area 2","128100","Northcote Tuff Crater","400"
"2013","Statistical Area 2","128200","Northcote Point (Auckland)","400"
"2013","Statistical Area 2","128300","McLaren Park","330"
"2013","Statistical Area 2","128400","Henderson East","320"
"2013","Statistical Area 2","128500","Te Atatu South-McLeod South","350"
"2013","Statistical Area 2","128600","Takapuna South","450"
"2013","Statistical Area 2","128700","Rosebank Peninsula","C"
"2013","Statistical Area 2","128800","Hauraki","420"
"2013","Statistical Area 2","128900","Glendene North","340"
